CustomerID,Name,Gender,Age,Region,SignupDate
C00001,Gabrielle Davis,Male,64,West,2025-06-05
C00002,Ryan Munoz,Female,64,Central,2023-08-20
C00003,Monica Herrera,Male,21,South,2024-03-25
C00004,Jamie Arnold,Male,24,West,2024-12-05
C00005,Lisa Hensley,Male,62,Central,2023-02-23
C00006,Michele Williams,Female,52,North,2022-10-26
C00007,Dylan Miller,Male,26,South,2024-09-24
C00008,Brian Ramirez,Male,25,Central,2025-04-11
C00009,Holly Wood,Male,62,Central,2023-04-01
C00010,Derek Zuniga,Female,34,East,2022-10-26
C00011,Lisa Jackson,Male,34,West,2024-12-07
C00012,Carla Gray,Male,50,East,2023-02-05
C00013,Margaret Hawkins DDS,Male,49,South,2023-11-25
C00014,Patty Perez,Male,25,Central,2024-12-03
C00015,Ethan Adams,Female,36,East,2024-03-14
C00016,Tommy Walter,Male,55,West,2024-06-13
C00017,Matthew Foster,Female,20,South,2025-01-13
C00018,Judy Baker,Female,22,North,2022-09-04
C00019,Justin Baker,Female,30,East,2024-11-17
C00020,Stephanie Ross,Male,64,South,2025-01-07
C00021,Zachary Hicks,Female,63,North,2024-10-11
C00022,Anthony Rodriguez,Male,48,East,2025-05-29
C00023,Rebecca Henderson,Female,33,South,2023-08-26
C00024,James Ferrell,Female,49,South,2023-07-05
C00025,Tricia Valencia,Female,39,East,2024-05-02
C00026,Nathan Maldonado,Female,46,South,2025-02-27
C00027,Debra Davidson,Female,39,Central,2025-02-04
C00028,Jeffrey Chavez,Female,60,East,2024-10-23
C00029,Sherri Baker,Female,20,South,2023-09-26
C00030,Cassandra Gaines,Female,27,North,2024-10-31
C00031,Elizabeth Fowler,Male,59,North,2022-07-30
C00032,Brittany Farmer,Male,38,Central,2023-03-07
C00033,Paula Moreno,Female,33,East,2023-01-18
C00034,Fred Smith,Female,29,South,2022-09-01
C00035,Sherry Decker,Female,19,South,2023-12-01
C00036,Anthony Humphrey,Male,58,North,2022-08-26
C00037,Angelica Tucker,Female,41,Central,2025-01-30
C00038,Philip Cannon,Male,52,North,2025-06-13
C00039,John Pierce,Male,47,North,2023-06-26
C00040,Shane Henderson,Male,47,Central,2025-04-28
C00041,Joshua Blair,Male,64,East,2024-10-24
C00042,Eric Carney,Male,52,South,2024-05-07
C00043,Jessica Holmes,Female,36,East,2025-01-19
C00044,Danny Morgan,Female,25,West,2025-06-13
C00045,Crystal Robinson,Female,43,West,2023-07-29
C00046,Mark Perez,Female,57,West,2024-08-31
C00047,Shannon Jones,Female,24,Central,2023-10-01
C00048,Michael Lewis,Male,47,North,2025-04-07
C00049,Timothy Duncan,Female,24,East,2023-01-22
C00050,Richard Aguirre,Female,20,South,2023-10-11
C00051,Brent Jordan,Male,18,West,2025-01-30
C00052,John Daniel,Female,53,East,2023-12-11
C00053,Victoria Garcia,Male,42,West,2025-02-06
C00054,Gerald Hensley,Female,54,West,2024-09-07
C00055,Connor West,Male,18,South,2024-11-10
C00056,Donald Wright,Female,32,Central,2025-03-08
C00057,Jessica Callahan,Female,54,North,2022-10-15
C00058,Amber Kidd,Male,30,Central,2025-04-05
C00059,Tracy House,Male,57,East,2022-11-12
C00060,Carol Tucker,Male,25,Central,2023-09-18
C00061,James Brown,Male,22,East,2023-12-25
C00062,William Baker,Male,26,East,2024-06-05
C00063,Jordan Henderson,Male,18,North,2025-03-03
C00064,Whitney Peters,Male,53,South,2024-10-29
C00065,Brittney Phillips,Male,52,North,2024-08-31
C00066,Lauren Daniels,Female,19,Central,2024-06-15
C00067,Amy Silva,Female,57,East,2022-08-29
C00068,Sarah Moore,Male,40,West,2025-06-19
C00069,Angela Lopez,Female,26,West,2025-04-17
C00070,Megan Young,Female,51,East,2024-05-20
C00071,Steve Sanchez,Female,63,North,2022-11-24
C00072,Lisa Barnes,Female,31,South,2024-01-10
C00073,Kelly Donovan,Male,21,North,2023-04-09
C00074,Mike Allen,Female,47,East,2023-07-05
